event_name,event_date,event_location,event_details_url,weight_class,fight_stats_page_url,header_fighter_a_name,header_fighter_a_nickname,header_fighter_a_outcome,header_fighter_b_name,header_fighter_b_nickname,header_fighter_b_outcome,header_winner_name,header_round_detailed,header_time_detailed,header_time_format_detailed,header_referee_detailed,header_finish_details_detailed,fighter_a_per_round_totals_json,fighter_a_per_round_sig_strikes_json,fighter_a_kd,fighter_a_sig_str_landed,fighter_a_sig_str_attempted,fighter_a_sig_str_pct,fighter_a_total_str_landed,fighter_a_total_str_attempted,fighter_a_td_landed,fighter_a_td_attempted,fighter_a_td_pct,fighter_a_sub_att,fighter_a_rev,fighter_a_ctrl_time_seconds,fighter_a_sig_strikes_head_landed,fighter_a_sig_strikes_head_attempted,fighter_a_sig_strikes_body_landed,fighter_a_sig_strikes_body_attempted,fighter_a_sig_strikes_leg_landed,fighter_a_sig_strikes_leg_attempted,fighter_a_sig_strikes_distance_landed,fighter_a_sig_strikes_distance_attempted,fighter_a_sig_strikes_clinch_landed,fighter_a_sig_strikes_clinch_attempted,fighter_a_sig_strikes_ground_landed,fighter_a_sig_strikes_ground_attempted,fighter_b_per_round_totals_json,fighter_b_per_round_sig_strikes_json,fighter_b_kd,fighter_b_sig_str_landed,fighter_b_sig_str_attempted,fighter_b_sig_str_pct,fighter_b_total_str_landed,fighter_b_total_str_attempted,fighter_b_td_landed,fighter_b_td_attempted,fighter_b_td_pct,fighter_b_sub_att,fighter_b_rev,fighter_b_ctrl_time_seconds,fighter_b_sig_strikes_head_landed,fighter_b_sig_strikes_head_attempted,fighter_b_sig_strikes_body_landed,fighter_b_sig_strikes_body_attempted,fighter_b_sig_strikes_leg_landed,fighter_b_sig_strikes_leg_attempted,fighter_b_sig_strikes_distance_landed,fighter_b_sig_strikes_distance_attempted,fighter_b_sig_strikes_clinch_landed,fighter_b_sig_strikes_clinch_attempted,fighter_b_sig_strikes_ground_landed,fighter_b_sig_strikes_ground_attempted,event_date_iso,FightID_generated
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Bantamweight,http://ufcstats.com/fight-details/43d90683078fcee5,Serhiy Sidey,,L,Ramon Taveras,"""The Savage""",W,Ramon Taveras,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,,[],[],0,79,226,0.34,81,229,0,4,0.0,0,0,24,51,181,20,36,8,9,73,218,6,8,0,0,[],[],1,62,147,0.42,62,148,0,0,0.0,0,0,6,48,131,8,10,6,6,60,144,1,1,1,2,2024-01-20T00:00:00,43d90683078fcee5
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Women's Strawweight,http://ufcstats.com/fight-details/dff2685afd98ed9e,Gillian Robertson,"""The Savage""",W,Polyana Viana,"""Dama de Ferro""",L,Gillian Robertson,2,3:12,3 Rnd (5-5-5),Kevin MacDonald,Punches to Head From Back Control,[],[],0,23,39,0.58,49,91,2,2,1.0,1,0,366,20,35,0,0,3,4,5,13,0,0,18,26,[],[],0,12,41,0.29,33,66,0,0,0.0,0,0,27,10,37,2,3,0,1,9,37,0,0,3,4,2024-01-20T00:00:00,dff2685afd98ed9e
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Welterweight,http://ufcstats.com/fight-details/a10e2d5416972b9c,Yohan Lainesse,"""White Lion""",L,Sam Patterson,,W,Sam Patterson,1,2:03,3 Rnd (5-5-5),Brian Beauchamp,Rear Naked Choke,[],[],0,1,9,0.11,1,9,0,0,0.0,0,0,5,1,8,0,0,0,1,1,9,0,0,0,0,[],[],0,5,10,0.5,5,10,1,1,1.0,1,0,41,5,10,0,0,0,0,5,10,0,0,0,0,2024-01-20T00:00:00,a10e2d5416972b9c
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Women's Bantamweight,http://ufcstats.com/fight-details/7736eb6bd5c1ff4a,Jasmine Jasudavicius,,W,Priscila Cachoeira,"""Zombie Girl""",L,Jasmine Jasudavicius,3,4:21,3 Rnd (5-5-5),Mathew  Rocca,Anaconda Choke On Ground,[],[],1,93,120,0.77,326,398,2,5,0.4,3,0,685,84,109,6,8,3,3,23,34,2,3,68,83,[],[],0,24,50,0.48,26,52,0,0,0.0,0,0,5,19,44,3,4,2,2,20,45,0,0,4,5,2024-01-20T00:00:00,7736eb6bd5c1ff4a
UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada",http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Flyweight,http://ufcstats.com/fight-details/ab105e5a56b5ee90,Malcolm Gordon,"""X""",L,Jimmy Flick,"""The Brick""",W,Jimmy Flick,2,1:17,3 Rnd (5-5-5),Todd Ronald Anderson,Arm Triangle From Half Guard,[],[],0,37,70,0.52,74,116,1,1,1.0,1,0,253,35,67,2,3,0,0,18,41,5,5,14,24,[],[],0,3,7,0.42,7,11,1,4,0.25,4,0,67,2,5,0,1,1,1,3,7,0,0,0,0,2024-01-20T00:00:00,ab105e5a56b5ee90
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/eaea0fc7b76525a8,Middleweight,http://ufcstats.com/fight-details/406f2aacd1d1faf9,Jack Hermansson,"""The Joker""",W,Joe Pyfer,"""Bodybagz""",L,Jack Hermansson,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,,[],[],0,121,235,0.51,188,327,1,2,0.5,0,0,188,74,174,15,23,32,38,111,219,5,6,5,10,[],[],0,92,250,0.36,95,254,0,6,0.0,0,0,50,56,196,25,34,11,20,92,250,0,0,0,0,2024-02-10T00:00:00,406f2aacd1d1faf9
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/eaea0fc7b76525a8,Featherweight,http://ufcstats.com/fight-details/25259e230be9cdc9,Dan Ige,"""50K""",W,Andre Fili,"""Touchy""",L,Dan Ige,1,2:43,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,[],[],1,11,19,0.57,11,19,0,0,0.0,0,0,1,4,11,2,3,5,5,10,18,0,0,1,1,[],[],0,8,33,0.24,8,33,0,0,0.0,0,0,0,7,28,1,5,0,0,8,33,0,0,0,0,2024-02-10T00:00:00,25259e230be9cdc9
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/eaea0fc7b76525a8,Middleweight,http://ufcstats.com/fight-details/17050a7b673dc49d,Robert Bryczek,,L,Ihor Potieria,"""Duelist""",W,Ihor Potieria,3,5:00,3 Rnd (5-5-5),Mike Beltran,,[],[],0,32,133,0.24,41,143,0,0,0.0,0,0,30,19,103,10,24,3,6,30,127,2,6,0,0,[],[],1,67,168,0.39,77,181,0,4,0.0,0,0,157,47,139,5,12,15,17,61,156,6,12,0,0,2024-02-10T00:00:00,17050a7b673dc49d
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/eaea0fc7b76525a8,Middleweight,http://ufcstats.com/fight-details/e7938bac3ec8b442,Brad Tavares,,L,Gregory Rodrigues,"""Robocop""",W,Gregory Rodrigues,3,0:55,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,[],[],0,37,84,0.44,42,90,0,0,0.0,0,0,0,28,70,4,9,5,5,36,83,1,1,0,0,[],[],0,71,123,0.57,79,135,2,6,0.33,0,0,198,53,102,8,9,10,12,64,114,7,9,0,0,2024-02-10T00:00:00,e7938bac3ec8b442
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/eaea0fc7b76525a8,Lightweight,http://ufcstats.com/fight-details/5304956aada097e8,Michael Johnson,"""The Menace""",W,Darrius Flowers,"""Beast Mode""",L,Michael Johnson,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,[],[],0,61,112,0.54,80,138,4,8,0.5,0,0,362,16,47,36,52,9,13,58,109,0,0,3,3,[],[],0,33,64,0.51,52,86,0,2,0.0,0,0,43,10,31,9,12,14,21,29,60,1,1,3,3,2024-02-10T00:00:00,5304956aada097e8
